feature	Actinobacteria	Bacteria_unclassified	Bacteroidetes	Candidatus_Melainabacteria	Euryarchaeota	Firmicutes	Proteobacteria	Tenericutes	Verrucomicrobia	Other
AS1315	-3.21046237792707	NA	-2.88137124413844	NA	NA	-0.407979866915993	-8.80997131040419	NA	NA	-11.486140819972
AS2315	-3.38001500202822	NA	-1.9501601611873	NA	NA	-0.660680835553147	-6.33692905179224	NA	NA	-12.228357101933
AT1302	-4.17168515332851	-8.3861209548375	-2.38674855989806	NA	-5.75768023224245	-0.522093291471046	-6.24491441865992	-7.31828513123696	-6.05310524829751	-10.0316070699317
AT2302	-4.81237600537464	-8.77656050019531	-3.14392981609554	NA	-6.55060688680089	-0.271513322487719	-7.13810736032667	-10.2000796751845	-9.02100064172866	-17.3227591823791
EH1307	-7.03933036000418	-11.0337241232048	-1.00623246396313	NA	-9.00431013253863	-1.18100880357419	-4.76338324600814	NA	-6.15831702233329	-11.8817210297598
EH2307	-7.4939729615024	-12.3458552933545	-0.808615919200239	NA	-11.0085387038688	-1.45107460782149	-4.26887559549477	NA	-7.64241464840927	-12.1567819425314
EK1349	-5.02630821294043	NA	-2.24335827477523	NA	NA	-0.443065949811528	-7.37949963070988	NA	NA	-5.9174344503475
EK2349	-4.50188780633239	NA	-4.04848917103426	NA	NA	-0.184081565403373	-8.4122769013709	NA	NA	-6.34698239644249
EP1341	-3.82449018409808	-6.360704561938	-1.73519620393407	-10.6008754410343	NA	-0.809704460194641	-5.91528229867632	-10.1378024234755	-5.18206020074901	-10.4142925875756
EP2341	-3.72266596694421	-5.2938573326558	-2.84306230851335	-9.2102134330603	NA	-0.456861332633261	-5.94482921711087	-9.80848225115156	-6.44187153928974	-11.7666620754569
ET1331	-2.67429497033469	NA	-3.45616674384894	NA	NA	-0.436599256863382	-9.83498430820661	NA	NA	-6.35034357930038
ET2331	-3.34924351356148	NA	-2.05222595978901	-13.6798501980656	NA	-0.661354734749353	-6.5545350401831	NA	NA	-5.81485170680493
HL1333	-3.38710788949888	-7.17526215828611	-2.79588103602334	NA	NA	-0.436032336531321	-7.51089746109004	-13.5341075547304	-6.83335521413323	NA
HL2333	-3.22652477463168	-7.51601293679854	-2.79624334735105	NA	NA	-0.441519700883515	-7.46009786415267	-12.7940663439992	-9.32414707651217	NA
HN1327	-2.04702581108901	NA	-2.74519453595031	NA	NA	-0.72482504096569	-8.0396714064331	NA	NA	NA
HN2327	-1.74339773716447	NA	-2.8013275463333	NA	NA	-0.856171359829838	-7.56850227466428	NA	NA	-12.3272013907778
HP1337	-4.31645035048503	NA	-1.24785620999613	NA	NA	-0.930637817569846	-8.03070161707391	NA	NA	-11.7716970882763
HP2337	-4.66809072004046	NA	-1.25223804563697	NA	NA	-0.904317393351042	-7.77700401967839	NA	NA	-8.94772032811017
HT1321	-3.76329517091883	-6.57385076624856	-2.14830469407401	-12.5626247893019	-6.34594787454749	-0.644237012566458	-5.31178904919725	-9.77700272125266	-6.84807175556018	-8.3830347484235
HT2321	-3.69100195452751	-5.92360327405579	-3.10239266802899	-15.8272311881617	-6.54759361536862	-0.407424462475807	-6.43900109470422	-8.39999144184256	-6.6284578121202	-11.3142840601974
IM1354	-4.30133601067307	-9.65045035713615	-1.61447927485822	NA	NA	-0.700303516165888	-7.50918881234432	NA	NA	-10.9031103547071
IM2354	-3.33646613111859	-11.242969135403	-1.13364897935348	NA	NA	-1.20018580549651	-6.71185608713549	NA	NA	-13.808482395421
JA1369	-3.68641642048038	-11.7206531761721	-3.46129519751696	-11.1091564958856	NA	-0.360906765533341	-7.89429560199977	NA	-4.40656112468023	-10.3704710186932
JA2369	-2.9561177085707	-11.6798491881792	-3.69498223824872	-9.98422356382699	NA	-0.350368618496162	-7.97868146122166	NA	-7.87445651843195	-15.3893102310182
JE1361	-1.85518581543825	-15.8697930930848	-2.84358960667586	-11.0156899118357	-5.02810163918448	-0.986989045805957	-4.67439509817387	-9.29657678083779	-7.01503666525864	-12.9237010473382
JE2361	-2.03801461735947	-14.6573069080671	-3.13206179726967	-11.2769325407962	-4.97409011909704	-0.837043152984803	-4.66513337701942	-8.88165196982568	-6.82102001019015	-16.7616435678819
JH1373	-3.06236407846197	NA	-2.28771322826006	-12.7397692125286	-8.41193246075046	-0.646860716683485	-5.65342420503042	-6.39635409865674	-8.96693904687308	NA
JH2373	-4.8330311887251	NA	-1.32745430272724	-9.79675781660517	-6.16422263866347	-1.0603133133583	-6.91260399948388	-7.49215378518879	-4.10795063098661	NA
JK1312	-4.52291981089886	NA	-1.45211374164054	NA	NA	-0.78777475349196	-6.40751607352822	NA	NA	NA
JK2312	-4.51149093674308	NA	-0.834161858559819	NA	NA	-1.40201396600423	-5.8913569272859	NA	NA	NA
JL1316	-3.79460063316707	NA	-1.7992828793712	NA	NA	-0.689086396910861	-7.29281706680648	-11.2401751449417	-6.37466856242176	-9.35112270388108
JL2316	-3.54464107074192	NA	-3.02695321684172	-11.8214760960513	NA	-0.356094892126722	-6.82806692990135	-15.4333169804486	-10.068001018653	-11.6549781322512
JM1360	-2.29676690372243	-12.8345915199173	-2.94345468132086	NA	-5.12358640617077	-0.882587930508002	-4.38991690360573	NA	-4.90853923743744	-6.13024575890602
JM2360	-2.1561848378104	-12.0002396516218	-2.83798448193057	NA	-5.51870723973371	-0.916955893691028	-4.92597428701997	NA	-4.80304611645472	-6.02122521798406
JP1303	-5.08048268074968	-7.18295581550906	-3.19690070524226	NA	NA	-0.242004861158755	-6.99384475993641	NA	-9.83432592210487	NA
JP2303	-4.54992553132638	-7.67018009449898	-3.26337044834005	NA	NA	-0.337204437812006	-7.40744446898201	NA	-4.2992249611214	NA
JS1364	-2.77577919469924	NA	-3.47703018464618	NA	NA	-0.422611777972603	-8.9684560308877	NA	-5.95627615491878	NA
JS2364	-2.93501036032007	NA	-2.58845400680524	NA	NA	-0.591076454227882	-9.96563915675371	NA	-4.71296662980884	NA
JV1357	-4.08447954945688	-11.6563753796915	-2.4287664274092	-5.90949571212386	-10.8167852663438	-0.45382171034479	-7.72904691758937	NA	-14.591718710709	-8.39546723203778
JV2357	-5.16450259624345	-12.269079359566	-2.08278542772897	-6.95403935383027	-7.41791613908923	-0.507356062555369	-6.53583478141389	-11.1018469883937	-18.553058100226	-7.11816929369562
KH1326	-2.40380876239091	-5.78485642450767	-3.02898943016135	NA	NA	-0.615384213806725	-9.35413945274939	NA	-5.95681313468464	NA
KH2326	-2.08864485709927	-6.19822410049835	-2.97181829192407	NA	NA	-0.688347135019887	-8.86662303924565	NA	-9.81912834119492	NA
KK1350	-3.48124903552479	NA	-2.44090809837959	NA	NA	-0.554973755638166	-6.24405000177757	NA	-4.94787501366638	-15.2762160193639
KK1376	-2.25575839995373	-11.1716798090242	-3.90072415047124	NA	NA	-0.55024325471158	-4.63444393986547	NA	-15.0343275666712	-14.9773716818592
KK2350	-4.08284725855851	NA	-2.19546868019017	NA	NA	-0.636012927823471	-6.12068511918191	NA	-3.9499784136706	-13.2776481191266
